name,origin,product_id,kind,alcohol_tolerance,flocculation,alpha,use,category,color,ppg
Ahtunum,,,Flavor,,,,Primary,Others,,
Airflock,,,Other,,,,Boil,Others,,
Ajvar,,,Other,,,,Boil,Others,,
Alcaravia,,,Spice,,,,Boil,Others,,
ALDC,,,Other,,,,Primary,Others,,
Alecrim,,,Herb,,,,Other,Others,,
Alghe,,,Herb,,,,Boil,Others,,
Allapice,,,Spice,,,,Boil,Others,,
Allehende,,,Herb,,,,Boil,Others,,
Allkleer,,,Fining,,,,Bottling,Others,,
Allmond,,,Other,,,,Mash,Others,,
Allspice,,,Spice,,,,Boil,Others,,
Allspicer,,,Spice,,,,Boil,Others,,
ALLSPICES,,,Flavor,,,,Secondary,Others,,
Almasav,,,Other,,,,Other,Others,,
Almond,,,Flavor,,,,Boil,Others,,
Almonds,,,Flavor,,,,Mash,Others,,
Almons,,,Flavor,,,,Primary,Others,,
Alspice,,,Spice,,,,Boil,Others,,
Alymase,,,Other,,,,Mash,Others,,
Amalase,,,Other,,,,Mash,Others,,
Amalyase,,,Other,,,,Primary,Others,,
Amalyse,,,Other,,,,Mash,Others,,
AMARANTO,,,Herb,,,,Boil,Others,,
Amarillo,,,Flavor,,,,Secondary,Others,,
Amaylse,,,Other,,,,Secondary,Others,,
Amber,,,Other,,,,Boil,Others,,
Amigase,,,Fining,,,,Mash,Others,,
Amilase,,,Other,,,,Mash,Others,,
Amirillo,,,Flavor,,,,Secondary,Others,,
Amlyse,,,Other,,,,Mash,Others,,
Amora,,,Flavor,,,,Secondary,Others,,
Amoras,,,Other,,,,Boil,Others,,
AMS,,,Water Agt,,,,Mash,Others,,
Amyalase,,,Other,,,,Primary,Others,,
Amylase,,,Other,,,,Mash,Others,,
Amylaze,,,Other,,,,Mash,Others,,
Amylese,,,Other,,,,Mash,Others,,
Anaheim,,,Spice,,,,Secondary,Others,,
Analyase,,,Other,,,,Mash,Others,,
Ananas,,,Flavor,,,,Secondary,Others,,
Ananasjuice,,,Flavor,,,,Boil,Others,,
Ananaspoeder,,,Flavor,,,,Secondary,Others,,
Ananassirap,,,Flavor,,,,Kegging,Others,,
Ancho,,,Flavor,,,,Primary,Others,,
Anger,,,Other,,,,Boil,Others,,
Anice,,,Herb,,,,Boil,Others,,
Anijstinctuur,,,Spice,,,,Secondary,Others,,
Anis,,,Spice,,,,Secondary,Others,,
Anise,,,Spice,,,,Boil,Others,,
Aniseed,,,Spice,,,,Boil,Others,,
Anitfoam,,,Other,,,,Boil,Others,,
Aniz,,,Spice,,,,Boil,Others,,
Annise,,,Spice,,,,Secondary,Others,,
AntiFoam,,,Water Agt,,,,Boil,Others,,
Antiox,,,Water Agt,,,,Mash,Others,,
Ants,,,Spice,,,,Boil,Others,,
Anylase,,,Water Agt,,,,Mash,Others,,
Apelsinblomshonung,,,Other,,,,Primary,Others,,
Apelsincest,,,Spice,,,,Bottling,Others,,
Apelsinikoor,,,Spice,,,,Boil,Others,,
Apelsinjuice,,,Flavor,,,,Secondary,Others,,
Apelsinskal,,,Flavor,,,,Secondary,Others,,
Apelsinskall,,,Spice,,,,Boil,Others,,
Apelsinzest,,,Spice,,,,Boil,Others,,
Aperol,,,Other,,,,Bottling,Others,,
Appellsinskall,,,Flavor,,,,Boil,Others,,
Appelsen,,,Spice,,,,Boil,Others,,
Appelsiininkuori,,,Spice,,,,Boil,Others,,
Appelsin,,,Flavor,,,,Boil,Others,,
Appelsinmarmalade,,,Flavor,,,,Boil,Others,,
Appelsinmarmelade,,,Flavor,,,,Boil,Others,,
Appelsinskal,,,Flavor,,,,Boil,Others,,
Appelsinskall,,,Flavor,,,,Boil,Others,,
Appelsinskalll,,,Spice,,,,Boil,Others,,
Appelsinskrell,,,Flavor,,,,Boil,Others,,
Appelsinzest,,,Spice,,,,Boil,Others,,
Appelstroop,,,Other,,,,Boil,Others,,
Appesinskal,,,Spice,,,,Boil,Others,,
Apple,,,Other,,,,Boil,Others,,
Applebutter,,,Flavor,,,,Primary,Others,,
Applejuice,,,Other,,,,Secondary,Others,,
Apples,,,Flavor,,,,Secondary,Others,,
Applesinskall,,,Spice,,,,Boil,Others,,
Applewood,,,Flavor,,,,Secondary,Others,,
Applsinskall,,,Spice,,,,Boil,Others,,
Apricot,,,Flavor,,,,Bottling,Others,,
Apricots,,,Flavor,,,,Secondary,Others,,
Aprikoosi,,,Flavor,,,,Other,Others,,
Aprikos,,,Flavor,,,,Secondary,Others,,
Aprikospure,,,Flavor,,,,Primary,Others,,
Aprikospurre,,,Flavor,,,,Primary,Others,,
Aquavit,,,Other,,,,Secondary,Others,,
Arancia,,,Flavor,,,,Boil,Others,,
Arbol,,,Spice,,,,Secondary,Others,,
Arborvitae,,,Herb,,,,Boil,Others,,
Artemisia,,,Herb,,,,Boil,Others,,
Asdf,,,Spice,,,,Mash,Others,,
Askorbinsyre,,,Other,,,,Mash,Others,,
Aspartame,,,Other,,,,Bottling,Others,,
Assenzio,,,Spice,,,,Boil,Others,,
Aveia,,,Fining,,,,Mash,Others,,
Avena,,,Flavor,,,,Boil,Others,,
Azucar,,,Other,,,,Boil,Others,,
Bacon,,,Flavor,,,,Boil,Others,,
Bakekakao,,,Flavor,,,,Boil,Others,,
Bakepulver,,,Water Agt,,,,Mash,Others,,
Baksoda,,,Other,,,,Mash,Others,,
Bamboo,,,Other,,,,Boil,Others,,
Banana,,,Flavor,,,,Boil,Others,,
Bananas,,,Flavor,,,,Secondary,Others,,
Banansirap,,,Flavor,,,,Kegging,Others,,
Bannanas,,,Flavor,,,,Other,Others,,
Barley,,,Other,,,,Boil,Others,,
Basil,,,Herb,,,,Boil,Others,,
Basilic,,,Herb,,,,Secondary,Others,,
Basilika,,,Herb,,,,Boil,Others,,
Basilikum,,,Herb,,,,Boil,Others,,
Bauilha,,,Flavor,,,,Other,Others,,
Baunilha,,,Other,,,,Boil,Others,,
Bay,,,Herb,,,,Secondary,Others,,
Bayleaf,,,Spice,,,,Boil,Others,,
Beachwood,,,Flavor,,,,Secondary,Others,,
Beano,,,Other,,,,Primary,Others,,
BEATS,,,Other,,,,Mash,Others,,
Becosol,,,Fining,,,,Secondary,Others,,
Beerbright,,,Fining,,,,Boil,Others,,
Beet,,,Other,,,,Boil,Others,,
Beetroot,,,Other,,,,Boil,Others,,
Beets,,,Other,,,,Mash,Others,,
Benitite,,,Fining,,,,Boil,Others,,
Bentoniit,,,Fining,,,,Boil,Others,,
Bentonite,,,Other,,,,Boil,Others,,
Bergamot,,,Spice,,,,Boil,Others,,
Bergamotka,,,Other,,,,Boil,Others,,
Bergamotto,,,Water Agt,,,,Boil,Others,,
Berries,,,Flavor,,,,Secondary,Others,,
Beterraba,,,Other,,,,Mash,Others,,
Beuets,,,Flavor,,,,Boil,Others,,
Biancospino,,,Herb,,,,Boil,Others,,
Bicarbonate,,,Water Agt,,,,Mash,Others,,
Bierol,,,Fining,,,,Boil,Others,,
Biersol,,,Fining,,,,Secondary,Others,,
Bigaraux,,,Fining,,,,Secondary,Others,,
Bikarbonat,,,Water Agt,,,,Mash,Others,,
Bilberries,,,Spice,,,,Boil,Others,,
BIOCLEAR,,,Fining,,,,Secondary,Others,,
Biofine,,,Fining,,,,Secondary,Others,,
BioFoam,,,Other,,,,Bottling,Others,,
Bioglucanase,,,Water Agt,,,,Mash,Others,,
Biola,,,Other,,,,Other,Others,,
Biotin,,,Fining,,,,Boil,Others,,
Birch,,,Spice,,,,Boil,Others,,
Birsalma,,,Other,,,,Boil,Others,,
Bitter,,,Spice,,,,Boil,Others,,
Bitterorangenschalen,,,Flavor,,,,Boil,Others,,
Bitterorangepeel,,,Spice,,,,Boil,Others,,
Bittersinaasappelschil,,,Spice,,,,Boil,Others,,
BLACK,,,Spice,,,,Boil,Others,,
Blackberries,,,Other,,,,Secondary,Others,,
Blackberry,,,Flavor,,,,Secondary,Others,,
Blackberrys,,,Flavor,,,,Secondary,Others,,
Blackcurrant,,,Flavor,,,,Secondary,Others,,
Blackcurrants,,,Flavor,,,,Secondary,Others,,
Blackcurrent,,,Flavor,,,,Secondary,Others,,
Blackerries,,,Flavor,,,,Secondary,Others,,
Blackmpepper,,,Spice,,,,Boil,Others,,
Blackpepper,,,Spice,,,,Boil,Others,,
Bleuets,,,Flavor,,,,Secondary,Others,,
Blodapelsinzest,,,Spice,,,,Boil,Others,,
Bloem,,,Other,,,,Boil,Others,,
Bluberries,,,Other,,,,Secondary,Others,,
Bluberry,,,Other,,,,Boil,Others,,
Blueberries,,,Flavor,,,,Boil,Others,,
Blueberry,,,Flavor,,,,Secondary,Others,,
Blueberrys,,,Flavor,,,,Secondary,Others,,
Bluemellow,,,Herb,,,,Boil,Others,,
Bna,,,Flavor,,,,Secondary,Others,,
BodyBuilder,,,Other,,,,Boil,Others,,
Bogmyrtle,,,Herb,,,,Boil,Others,,
Bonox,,,Flavor,,,,Boil,Others,,
Booster,,,Other,,,,Boil,Others,,
Borage,,,Herb,,,,Boil,Others,,
Borax,,,Water Agt,,,,Mash,Others,,
Borban,,,Flavor,,,,Bottling,Others,,
Bordsalt,,,Water Agt,,,,Mash,Others,,
Bors,,,Spice,,,,Boil,Others,,
Bosvruchten,,,Other,,,,Boil,Others,,
Boubon,,,Other,,,,Secondary,Others,,
Bourban,,,Flavor,,,,Bottling,Others,,
Bourbon,,,Flavor,,,,Secondary,Others,,
Bourbonvaniljpulver,,,Spice,,,,Primary,Others,,
Bourboun,,,Flavor,,,,Secondary,Others,,
Boysenberry,,,Flavor,,,,Bottling,Others,,
Brambles,,,Flavor,,,,Secondary,Others,,
Bramling,,,Herb,,,,Mash,Others,,
Brandy,,,Flavor,,,,Bottling,Others,,
Brausol,,,Fining,,,,Boil,Others,,
Bread,,,Other,,,,Mash,Others,,
Breakbright,,,Fining,,,,Boil,Others,,
Brennesle,,,Herb,,,,Boil,Others,,
Brett,,,Other,,,,Secondary,Others,,
Brew,,,Other,,,,Boil,Others,,
Brewbright,,,Fining,,,,Boil,Others,,
Brewbrite,,,Fining,,,,Boil,Others,,
Brewbtite,,,Fining,,,,Boil,Others,,
Brewebrite,,,Other,,,,Boil,Others,,
Brewtan,,,Water Agt,,,,Mash,Others,,
BrewtanB,,,Fining,,,,Boil,Others,,
BrewVint,,,Other,,,,Boil,Others,,
Brine,,,Flavor,,,,Bottling,Others,,
Britebrew,,,Fining,,,,Boil,Others,,
Broccoli,,,Flavor,,,,Boil,Others,,
Broom,,,Flavor,,,,Boil,Others,,
Brunsukker,,,Fining,,,,Boil,Others,,
BTB,,,Water Agt,,,,Mash,Others,,
Bubbon,,,Flavor,,,,Secondary,Others,,
Buchu,,,Herb,,,,Bottling,Others,,
Buckwheat,,,Other,,,,Mash,Others,,
Bunnytea,,,Herb,,,,Boil,Others,,
Buorbon,,,Flavor,,,,Secondary,Others,,
Burbon,,,Flavor,,,,Secondary,Others,,
Burboun,,,Flavor,,,,Secondary,Others,,
Burkananas,,,Flavor,,,,Boil,Others,,
Burrito,,,Spice,,,,Boil,Others,,
Burtoniser,,,Water Agt,,,,Boil,Others,,
Butter,,,Flavor,,,,Primary,Others,,
Butternut,,,Flavor,,,,Boil,Others,,
Butterscotch,,,Flavor,,,,Boil,Others,,
CA,,,Water Agt,,,,Mash,Others,,
Cabernet,,,Flavor,,,,Secondary,Others,,
CaCa,,,Water Agt,,,,Boil,Others,,
Cacade,,,Flavor,,,,Secondary,Others,,
CaCal,,,Water Agt,,,,Mash,Others,,
Cacao,,,Flavor,,,,Boil,Others,,
Cacaonibs,,,Spice,,,,Secondary,Others,,
Cacaopoeder,,,Flavor,,,,Boil,Others,,
Cacau,,,Spice,,,,Boil,Others,,
Caccao,,,Spice,,,,Mash,Others,,
CaCh,,,Water Agt,,,,Mash,Others,,
CaChloride,,,Water Agt,,,,Mash,Others,,
CaCi,,,Water Agt,,,,Mash,Others,,
CaCl,,,Water Agt,,,,Mash,Others,,
CaCO,,,Water Agt,,,,Mash,Others,,
Cacoa,,,Flavor,,,,Boil,Others,,
CacoaNibs,,,Flavor,,,,Secondary,Others,,
CacoaPowder,,,Flavor,,,,Secondary,Others,,
Cademobe,,,Spice,,,,Boil,Others,,
Cafe,,,Flavor,,,,Secondary,Others,,
Cafeen,,,Other,,,,Boil,Others,,
Caffeen,,,Other,,,,Secondary,Others,,
Caffein,,,Spice,,,,Secondary,Others,,
Caffeine,,,Other,,,,Boil,Others,,
Caju,,,Other,,,,Secondary,Others,,
Cake,,,Other,,,,Mash,Others,,
CAL,,,Fining,,,,Boil,Others,,
Calabaza,,,Flavor,,,,Mash,Others,,
Calamansi,,,Flavor,,,,Boil,Others,,
Calamondin,,,Flavor,,,,Boil,Others,,
Calamus,,,Herb,,,,Boil,Others,,
CALCAR,,,Water Agt,,,,Mash,Others,,
CalcCl,,,Water Agt,,,,Mash,Others,,
CalChl,,,Water Agt,,,,Mash,Others,,
CALCHLF,,,Water Agt,,,,Mash,Others,,
CalChlo,,,Water Agt,,,,Mash,Others,,
CalChlor,,,Water Agt,,,,Other,Others,,
Calcium,,,Water Agt,,,,Mash,Others,,
Calciumchloride,,,Water Agt,,,,Mash,Others,,
Calciumhydroxide,,,Water Agt,,,,Mash,Others,,
CalciumSulfaat,,,Water Agt,,,,Mash,Others,,
CalciumSulfat,,,Water Agt,,,,Mash,Others,,
Calciumsulfate,,,Water Agt,,,,Mash,Others,,
Calciumsulphate,,,Water Agt,,,,Mash,Others,,
CalCl,,,Water Agt,,,,Mash,Others,,
CalClor,,,Water Agt,,,,Other,Others,,
CALCUL,,,Water Agt,,,,Mash,Others,,
Calium,,,Water Agt,,,,Mash,Others,,
Calsiumchlorid,,,Other,,,,Mash,Others,,
Calsiumchloride,,,Fining,,,,Mash,Others,,
Calsiumclorid,,,Water Agt,,,,Mash,Others,,
Calsiumcloride,,,Water Agt,,,,Mash,Others,,
Calsiumkarbonat,,,Water Agt,,,,Mash,Others,,
CALSUL,,,Water Agt,,,,Mash,Others,,
Calvados,,,Flavor,,,,Secondary,Others,,
Camden,,,Water Agt,,,,Other,Others,,
Camerise,,,Flavor,,,,Secondary,Others,,
Camille,,,Flavor,,,,Boil,Others,,
Cammomile,,,Herb,,,,Boil,Others,,
Camoilla,,,Herb,,,,Boil,Others,,
Camomele,,,Flavor,,,,Boil,Others,,
Camomil,,,Herb,,,,Boil,Others,,
Camomila,,,Herb,,,,Boil,Others,,
Camomile,,,Herb,,,,Boil,Others,,
Camomilla,,,Herb,,,,Boil,Others,,
Camomille,,,Spice,,,,Boil,Others,,
Campari,,,Flavor,,,,Bottling,Others,,
Campden,,,Water Agt,,,,Other,Others,,
Canabis,,,Herb,,,,Boil,Others,,
Candi,,,Other,,,,Boil,Others,,
Candis,,,Other,,,,Boil,Others,,
CANDY,,,Flavor,,,,Boil,Others,,
Canela,,,Spice,,,,Secondary,Others,,
Canelle,,,Flavor,,,,Boil,Others,,
Cannamon,,,Spice,,,,Boil,Others,,
Canneberge,,,Flavor,,,,Secondary,Others,,
Cannella,,,Spice,,,,Boil,Others,,
Cannelle,,,Spice,,,,Secondary,Others,,
Cantaloupe,,,Flavor,,,,Secondary,Others,,
CaOH,,,Water Agt,,,,Mash,Others,,
Capcaicin,,,Spice,,,,Boil,Others,,
Cappucino,,,Flavor,,,,Boil,Others,,
Capuchinha,,,Flavor,,,,Secondary,Others,,
Capuchino,,,Other,,,,Boil,Others,,
Carabohemian,,,Other,,,,Boil,Others,,
Carafloc,,,Fining,,,,Boil,Others,,
Carafoam,,,Other,,,,Mash,Others,,
Caragamone,,,Fining,,,,Boil,Others,,
Carageen,,,Fining,,,,Boil,Others,,
Carageenan,,,Fining,,,,Boil,Others,,
Carageenen,,,Fining,,,,Boil,Others,,
Carahell,,,Other,,,,Boil,Others,,
Carajam,,,Fining,,,,Boil,Others,,
Caramalt,,,Other,,,,Boil,Others,,
Caramel,,,Flavor,,,,Boil,Others,,
Caramelo,,,Water Agt,,,,Boil,Others,,
Caramon,,,Spice,,,,Mash,Others,,
Carapills,,,Other,,,,Boil,Others,,
Carapils,,,Other,,,,Boil,Others,,
Caravienne,,,Other,,,,Boil,Others,,
Caraway,,,Spice,,,,Primary,Others,,
Carawheat,,,Flavor,,,,Boil,Others,,
Cardamom,,,Spice,,,,Boil,Others,,
Cardamome,,,Spice,,,,Boil,Others,,
Cardamomo,,,Spice,,,,Boil,Others,,
Cardamomum,,,Flavor,,,,Boil,Others,,
Cardamon,,,Spice,,,,Boil,Others,,
Cardamond,,,Spice,,,,Boil,Others,,
Cardamum,,,Spice,,,,Secondary,Others,,
Cardemom,,,Spice,,,,Boil,Others,,
Cardemum,,,Spice,,,,Other,Others,,
Cardimom,,,Spice,,,,Boil,Others,,
Cardimon,,,Spice,,,,Boil,Others,,
Cardimum,,,Spice,,,,Boil,Others,,
Cardomom,,,Flavor,,,,Secondary,Others,,
Cardomoms,,,Herb,,,,Boil,Others,,
Cardomon,,,Spice,,,,Primary,Others,,
Cardomond,,,Spice,,,,Boil,Others,,
Cardomons,,,Herb,,,,Boil,Others,,
Carmel,,,Flavor,,,,Boil,Others,,
Carnberries,,,Flavor,,,,Primary,Others,,
Carob,,,Flavor,,,,Primary,Others,,
Caroway,,,Spice,,,,Boil,Others,,
Carrageean,,,Fining,,,,Boil,Others,,
Carrageen,,,Other,,,,Boil,Others,,
Carrageenan,,,Other,,,,Bottling,Others,,
Carragene,,,Fining,,,,Boil,Others,,
CARRAGENINA,,,Other,,,,Boil,Others,,
Carragheen,,,Fining,,,,Boil,Others,,
Carragheenen,,,Fining,,,,Boil,Others,,
Carraghenine,,,Fining,,,,Boil,Others,,
Carrhageen,,,Fining,,,,Boil,Others,,
Carrot,,,Herb,,,,Boil,Others,,
Carrots,,,Flavor,,,,Primary,Others,,
Carroway,,,Spice,,,,Boil,Others,,
Carvo,,,Spice,,,,Boil,Others,,
Cascade,,,Flavor,,,,Primary,Others,,
Cascara,,,Herb,,,,Boil,Others,,
Cascase,,,Flavor,,,,Secondary,Others,,
Cashews,,,Spice,,,,Boil,Others,,
CaSo,,,Water Agt,,,,Mash,Others,,
Cassis,,,Flavor,,,,Secondary,Others,,
Cassonade,,,Other,,,,Primary,Others,,
CASTAGNE,,,Other,,,,Boil,Others,,
Castanha,,,Flavor,,,,Boil,Others,,
CASTZGNE,,,Spice,,,,Secondary,Others,,
Catnip,,,Herb,,,,Boil,Others,,
Catuaba,,,Flavor,,,,Boil,Others,,
Cawffee,,,Flavor,,,,Secondary,Others,,
Cayenne,,,Spice,,,,Boil,Others,,
Cayennepepper,,,Spice,,,,Boil,Others,,
CbABC,,,Flavor,,,,Boil,Others,,
CBD,,,Other,,,,Kegging,Others,,
CC,,,Water Agt,,,,Mash,Others,,
Cedar,,,Flavor,,,,Secondary,Others,,
Cedron,,,Herb,,,,Boil,Others,,
Celabrite,,,Fining,,,,Secondary,Others,,
Cellabrite,,,Fining,,,,Secondary,Others,,
Cellarbrite,,,Fining,,,,Secondary,Others,,
Cenimon,,,Spice,,,,Secondary,Others,,
Centenian,,,Flavor,,,,Secondary,Others,,
Centennial,,,Spice,,,,Secondary,Others,,
Centinal,,,Other,,,,Boil,Others,,
Cereals,,,Spice,,,,Other,Others,,
Cereja,,,Flavor,,,,Primary,Others,,
Cereza,,,Flavor,,,,Secondary,Others,,
Ceriferm,,,Water Agt,,,,Primary,Others,,
Cerises,,,Flavor,,,,Secondary,Others,,
Cerrymom,,,Flavor,,,,Primary,Others,,
Cervomices,,,Other,,,,Other,Others,,
Cervomyces,,,Spice,,,,Boil,Others,,
Ceylon,,,Spice,,,,Boil,Others,,
Chacolate,,,Spice,,,,Kegging,Others,,
Chaga,,,Flavor,,,,Primary,Others,,
Chai,,,Spice,,,,Boil,Others,,
Chalk,,,Water Agt,,,,Boil,Others,,
Challenger,,,Flavor,,,,Primary,Others,,
Chamamile,,,Flavor,,,,Boil,Others,,
Chamolmile,,,Herb,,,,Mash,Others,,
Chamomile,,,Flavor,,,,Boil,Others,,
Chamomille,,,Flavor,,,,Boil,Others,,
Chamommile,,,Spice,,,,Boil,Others,,
Chamoomile,,,Herb,,,,Boil,Others,,
Chanterelles,,,Flavor,,,,Boil,Others,,
Chantrelle,,,Flavor,,,,Boil,Others,,
Chaomile,,,Spice,,,,Boil,Others,,
Chapulines,,,Spice,,,,Boil,Others,,
Chaulk,,,Water Agt,,,,Other,Others,,
Cheery,,,Flavor,,,,Secondary,Others,,
Cheese,,,Flavor,,,,Boil,Others,,
Cherrie,,,Flavor,,,,Secondary,Others,,
Cherries,,,Flavor,,,,Secondary,Others,,
Cherry,,,Flavor,,,,Boil,Others,,
Cherrys,,,Flavor,,,,Secondary,Others,,
Cherrywood,,,Flavor,,,,Boil,Others,,
Chesnuts,,,Other,,,,Boil,Others,,
Chestnut,,,Flavor,,,,Boil,Others,,
Chestnuts,,,Flavor,,,,Mash,Others,,
Chia,,,Flavor,,,,Mash,Others,,
Chickpea,,,Herb,,,,Mash,Others,,
Chicory,,,Flavor,,,,Secondary,Others,,
Chilacayote,,,Flavor,,,,Boil,Others,,
Chile,,,Spice,,,,Boil,Others,,
Chiler,,,Other,,,,Boil,Others,,
Chiles,,,Spice,,,,Boil,Others,,
Chili,,,Spice,,,,Boil,Others,,
Chilies,,,Spice,,,,Boil,Others,,
Chilipowder,,,Spice,,,,Boil,Others,,
Chiliring,,,Herb,,,,Secondary,Others,,
Chill,,,Spice,,,,Boil,Others,,
Chiller,,,Other,,,,Boil,Others,,
Chilli,,,Spice,,,,Boil,Others,,
Chillies,,,Spice,,,,Secondary,Others,,
Chillis,,,Other,,,,Boil,Others,,
Chimen,,,Spice,,,,Boil,Others,,
Chinnamon,,,Spice,,,,Secondary,Others,,
Chinook,,,Flavor,,,,Primary,Others,,
ChiosMantarinPeel,,,Flavor,,,,Boil,Others,,
ChiosMastic,,,Flavor,,,,Primary,Others,,
Chipolte,,,Spice,,,,Secondary,Others,,
Chipotle,,,Spice,,,,Boil,Others,,
Chipotles,,,Flavor,,,,Secondary,Others,,
Chiptle,,,Spice,,,,Secondary,Others,,
Chitin,,,Other,,,,Secondary,Others,,
Chitosan,,,Fining,,,,Secondary,Others,,
Chives,,,Other,,,,Other,Others,,
Chloride,,,Water Agt,,,,Mash,Others,,
Choclate,,,Flavor,,,,Boil,Others,,
Choco,,,Flavor,,,,Secondary,Others,,
Chocolade,,,Flavor,,,,Boil,Others,,
Chocolat,,,Flavor,,,,Boil,Others,,
Chocolate,,,Flavor,,,,Boil,Others,,
Chocolatte,,,Flavor,,,,Boil,Others,,
ChocoNibs,,,Flavor,,,,Boil,Others,,
Chokolate,,,Other,,,,Boil,Others,,
Cholaca,,,Flavor,,,,Secondary,Others,,
Chrysanthemum,,,Herb,,,,Boil,Others,,
Chrysantnimum,,,Flavor,,,,Boil,Others,,
Ciamon,,,Spice,,,,Boil,Others,,
Cider,,,Other,,,,Boil,Others,,
Cidreira,,,Spice,,,,Boil,Others,,
Cidro,,,Herb,,,,Boil,Others,,
Cilantro,,,Herb,,,,Boil,Others,,
Cilli,,,Spice,,,,Boil,Others,,
Cimet,,,Spice,,,,Boil,Others,,
Cimnamon,,,Spice,,,,Boil,Others,,
Cinamin,,,Spice,,,,Other,Others,,
Cinammin,,,Spice,,,,Boil,Others,,
Cinammon,,,Spice,,,,Boil,Others,,
Cinamom,,,Flavor,,,,Secondary,Others,,
Cinamon,,,Spice,,,,Boil,Others,,
Cinamonn,,,Spice,,,,Boil,Others,,
Cinamonstic,,,Spice,,,,Boil,Others,,
Ciniamon,,,Spice,,,,Mash,Others,,
Cinimmon,,,Spice,,,,Boil,Others,,
Cinimon,,,Spice,,,,Boil,Others,,
Cininamon,,,Spice,,,,Boil,Others,,
Cininmon,,,Spice,,,,Boil,Others,,
Cinmamon,,,Spice,,,,Boil,Others,,
Cinn,,,Spice,,,,Boil,Others,,
Cinnaman,,,Spice,,,,Boil,Others,,
Cinnamen,,,Spice,,,,Boil,Others,,
Cinnamin,,,Spice,,,,Secondary,Others,,
Cinnammon,,,Spice,,,,Boil,Others,,
Cinnamom,,,Spice,,,,Boil,Others,,
Cinnamon,,,Spice,,,,Boil,Others,,
Cinnamonn,,,Spice,,,,Boil,Others,,
Cinnanmon,,,Spice,,,,Secondary,Others,,
Cinnaom,,,Spice,,,,Boil,Others,,
Cinnemon,,,Spice,,,,Boil,Others,,
Cinnimin,,,Spice,,,,Primary,Others,,
Cinnimon,,,Spice,,,,Boil,Others,,
Cinnmon,,,Spice,,,,Boil,Others,,
Cinnoman,,,Spice,,,,Boil,Others,,
Cinnomen,,,Spice,,,,Boil,Others,,
Cinnomin,,,Spice,,,,Boil,Others,,
Cinnomon,,,Spice,,,,Boil,Others,,
Citra,,,Flavor,,,,Secondary,Others,,
Citramon,,,Spice,,,,Boil,Others,,
Citric,,,Water Agt,,,,Mash,Others,,
Citrix,,,Spice,,,,Boil,Others,,
Citroengras,,,Flavor,,,,Mash,Others,,
Citrom,,,Flavor,,,,Boil,Others,,
Citronelle,,,Herb,,,,Boil,Others,,
Citronmelisse,,,Spice,,,,Boil,Others,,
Citronolja,,,Herb,,,,Boil,Others,,
Citrons,,,Spice,,,,Boil,Others,,
Citronskal,,,Flavor,,,,Boil,Others,,
Citronsyra,,,Water Agt,,,,Boil,Others,,
Citronsyre,,,Flavor,,,,Boil,Others,,
Citrontimjan,,,Spice,,,,Boil,Others,,
Citronzest,,,Spice,,,,Boil,Others,,
Citrouille,,,Flavor,,,,Mash,Others,,
Citrus,,,Spice,,,,Boil,Others,,
Clacium,,,Water Agt,,,,Boil,Others,,
Clalk,,,Water Agt,,,,Mash,Others,,
Claraferm,,,Fining,,,,Primary,Others,,
Clarex,,,Fining,,,,Boil,Others,,
Clariferm,,,Fining,,,,Primary,Others,,
Clarificante,,,Fining,,,,Boil,Others,,
Clarifier,,,Water Agt,,,,Boil,Others,,
Clarifirm,,,Fining,,,,Primary,Others,,
Clarify,,,Fining,,,,Primary,Others,,
Clarimalt,,,Other,,,,Boil,Others,,
Clarity,,,Other,,,,Primary,Others,,
Clarityfe,,,Fining,,,,Primary,Others,,
Clarityferm,,,Fining,,,,Primary,Others,,
ClarityfFerm,,,Other,,,,Primary,Others,,
Clau,,,Spice,,,,Boil,Others,,
Clavo,,,Spice,,,,Boil,Others,,
Clavor,,,Flavor,,,,Boil,Others,,
Clavos,,,Flavor,,,,Boil,Others,,
Clearfine,,,Fining,,,,Secondary,Others,,
Clearifier,,,Fining,,,,Boil,Others,,
Clearlock,,,Other,,,,Boil,Others,,
Clementine,,,Flavor,,,,Boil,Others,,
Clementines,,,Other,,,,Boil,Others,,
Clementinskal,,,Flavor,,,,Boil,Others,,
Clemetines,,,Flavor,,,,Boil,Others,,
Clemintines,,,Flavor,,,,Secondary,Others,,
Clever,,,Spice,,,,Boil,Others,,
Clhoride,,,Water Agt,,,,Boil,Others,,
Closve,,,Spice,,,,Boil,Others,,
Cloudberries,,,Other,,,,Boil,Others,,
Cloudberry,,,Flavor,,,,Secondary,Others,,
Clove,,,Spice,,,,Boil,Others,,
CloveHoney,,,Flavor,,,,Boil,Others,,
Clover,,,Other,,,,Boil,Others,,
Cloveroots,,,Spice,,,,Boil,Others,,
Cloves,,,Spice,,,,Boil,Others,,
Cls,,,Water Agt,,,,Mash,Others,,
Coca,,,Flavor,,,,Boil,Others,,
Cocae,,,Flavor,,,,Mash,Others,,
Cocao,,,Flavor,,,,Boil,Others,,
Cocco,,,Flavor,,,,Boil,Others,,
Cochineal,,,Other,,,,Secondary,Others,,
Cocnut,,,Flavor,,,,Secondary,Others,,
Coco,,,Flavor,,,,Boil,Others,,
Cocoa,,,Spice,,,,Primary,Others,,
Cocoanibs,,,Flavor,,,,Boil,Others,,
